Grade,Subject,Topic,Description,Resource 1,Resource 2,Resource 3
Grade 9,English,"Greek and Latin roots, prefixes, and suffixes applied to multi-syllabic and technical vocabulary",,,,
Grade 9,English,"Context clues: Definition, synonym, antonym, example, comparison-contrast, cause-effect, and inference clues",,,,
Grade 9,English,Denotative vs. connotative meanings and nuances in tone and authorial diction,,,,
Grade 9,English,"Collocations, idioms, culturally rooted expressions, and euphemisms in Anglo-American contexts",,,,
Grade 9,English,"Using advanced print and online reference materials: Unabridged dictionaries, thesauruses, specialized glossaries, and academic databases",,,,
Grade 9,English,Grammar review: Parts of speech and their syntactic functions in complex sentence structures,,,,
Grade 9,English,"Advanced rules of Subject-Verb Agreement: Intervening phrases, compound subjects, inverted sentence structures, collective nouns, and singular/plural indefinite pronouns",,,,
Grade 9,English,"Verb tenses: Review of simple, progressive, perfect, and perfect progressive aspects",,,,
Grade 9,English,Maintaining consistent verb tenses across complex analytical and narrative writing,,,,
Grade 9,English,"Modal auxiliaries: Using modals of ability, permission, obligation, possibility, necessity, prohibition, conditionality, and preference (can, could, may, might, must, shall, should, will, would, ought to)",,,,
Grade 9,English,"Modal verbs in expressing social functions: Making polite requests, offers, suggestions, and giving advice",,,,
Grade 9,English,Conditionals: Zero conditional (general truths and scientific facts),,,,
Grade 9,English,Conditionals: First conditional (real and possible future conditions),,,,
Grade 9,English,Conditionals: Second conditional (unreal / hypothetical present or future situations),,,,
Grade 9,English,Conditionals: Third conditional (unreal / hypothetical past situations and regrets),,,,
Grade 9,English,Mixed conditionals and expressing wishes / regrets ($wish$ / $if\ only$),,,,
Grade 9,English,"Verbals: Gerunds and gerund phrases (functioning as subject, direct object, indirect object, subject complement, object of the preposition, appositive)",,,,
Grade 9,English,Verbals: Participles and participial phrases (present and past participles functioning as adjective modifiers),,,,
Grade 9,English,"Verbals: Infinitives and infinitive phrases (functioning as nouns, adjectives, and adverbs)",,,,
Grade 9,English,"Identifying and correcting dangling modifiers, misplaced modifiers, and split infinitives",,,,
Grade 9,English,"Active voice vs. Passive voice: Structural transformation, agent inclusion/omission, and stylistic choices in journalistic and scientific discourse",,,,
Grade 9,English,"Direct speech vs. Indirect / reported speech: Tense backshifting rules, modal changes, pronoun shifts, and adjustments in time/place adverbs",,,,
Grade 9,English,"Adverbs and Adverbial clauses: Adverbial clauses of time, place, manner, cause, condition, purpose, concession, and result",,,,
Grade 9,English,"Conjunctive adverbs (however, furthermore, therefore, consequently, nevertheless, moreover, otherwise) and semicolon usage",,,,
Grade 9,English,"Coordinating (FANBOYS), correlative (either...or, neither...nor, not only...but also), and subordinating conjunctions",,,,
Grade 9,English,"Parallelism: Maintaining parallel grammatical structure in series, pairs, comparisons, and coordinate elements",,,,
Grade 9,English,"Sentence structures: Simple, compound, complex, and compound-complex sentences",,,,
Grade 9,English,"Identifying and correcting structural errors: Sentence fragments, run-on / fused sentences, and comma splices",,,,
Grade 9,English,"Punctuation mechanics: Commas, semicolons, colons, hyphens, em-dashes, en-dashes, parentheses, brackets, quotation marks, and apostrophes",,,,
Grade 9,English,"Reading comprehension strategies: Skimming, scanning, close reading, critical reading, synthesizing, and summarizing",,,,
Grade 9,English,"Literary elements: Direct and indirect characterization (STEAL method), protagonist vs. antagonist, static vs. dynamic, flat vs. round characters, and character foils",,,,
Grade 9,English,"Setting analysis: Temporal, geographical, socio-cultural, and historical context shaping conflict and atmosphere",,,,
Grade 9,English,"Plot structure: Freytag's Pyramid (exposition, inciting incident, rising action, climax, falling action, catastrophe / resolution), flashbacks, foreshadowing, and in media res",,,,
Grade 9,English,"Types of literary conflict: Internal conflict (man vs. self) and External conflict (man vs. man, nature, society, technology, supernatural, fate)",,,,
Grade 9,English,"Theme analysis: Identifying explicit vs. implicit universal themes, philosophical motifs, and socio-political commentary",,,,
Grade 9,English,"Narrative point of view: First-person, second-person, third-person limited, and third-person omniscient; analyzing narrator reliability",,,,
Grade 9,English,"Tone (author's attitude), Mood (atmosphere / reader's emotional response), and Persona in prose and poetry",,,,
Grade 9,English,"Figurative language: Simile, metaphor, personification, hyperbole, onomatopoeia, imagery, symbolism, alliteration, assonance, consonance",,,,
Grade 9,English,"Advanced literary devices: Irony (verbal, situational, dramatic), paradox, oxymoron, allusion, allegory, apostrophe, and metonymy / synecdoche",,,,
Grade 9,English,"Elements of poetry: Stanza forms (couplets, quatrains, sestets, octaves), meter, rhyme scheme, sound devices, and visual poetry / layout",,,,
Grade 9,English,"Elements of drama: Script format, dialogue, monologue, soliloquy, aside, stage directions, blocking, acts, scenes, and dramatic irony",,,,
Grade 9,English,"Distinguishing between fact, opinion, belief, substantiated assertion, and value judgment",,,,
Grade 9,English,"Analyzing author's purpose (persuade, inform, entertain, explain, describe), perspective, tone, and underlying assumptions",,,,
Grade 9,English,"Recognizing propaganda techniques: Bandwagon, testimonial, card stacking, plain folks, name-calling, glittering generalities, transfer, and emotional appeals",,,,
Grade 9,English,"Identifying logical fallacies: Ad hominem, straw man, false dilemma / either-or, slippery slope, hasty generalization, red herring, and post hoc ergo propter hoc",,,,
Grade 9,English,"Informational text structures: Description, sequence / chronological, cause and effect, compare and contrast, problem and solution, hierarchical / order of importance",,,,
Grade 9,English,"Analyzing non-linear texts and visual aids: Tables, charts, flowcharts, infographics, concept maps, and timelines",,,,
Grade 9,English,Transcoding information: Converting linear text to non-linear visual representations and vice versa,,,,
Grade 9,English,"Visual literacy: Analyzing visual rhetoric, print advertisements, editorial cartoons, and public service announcements",,,,
Grade 9,English,"Oral communication: Suprasegmentals of speech (stress, pitch, intonation, pause / juncture, volume, rate, and speech rhythm)",,,,
Grade 9,English,"Listening comprehension: Determining speaker's tone, attitude, purpose, and distinguishing explicit details from implied messages",,,,
Grade 9,English,"Active listening strategies: Note-taking systems (Cornell method, outline method, mind maps) and summarizing oral discourse",,,,
Grade 9,English,"Oral delivery modes: Impromptu speaking, extemporaneous speaking, memorized delivery, and manuscript reading",,,,
Grade 9,English,"Public speaking skills: Vocal projection, enunciation, pacing, body language, gesture, and eye contact",,,,
Grade 9,English,"Participating in structured oral discourse: Panel discussions, symposiums, Socratic seminars, and formal debate (Oxford-Oregon and Parliamentary formats)",,,,
Grade 9,English,"Expressive oral reading: Declamation, dramatic monologues, readers' theater, and speech choir performances",,,,
Grade 9,English,"The writing process: Pre-writing (brainstorming, clustering, topic / sentence outlining), drafting, revising, editing, and publishing",,,,
Grade 9,English,"Paragraph development: Crafting focused topic sentences, relevant supporting evidence, logical coherence, and strong clincher / concluding sentences",,,,
Grade 9,English,"Cohesive devices and transition markers: Adding information, showing contrast, illustrating, proving causality, and concluding",,,,
Grade 9,English,"Expository / Informative essay writing: Process analysis, cause-and-effect essays, and comparative-contrast essays",,,,
Grade 9,English,"Argumentative / Persuasive essay writing: Formulating clear claim / thesis statements, providing empirical evidence, addressing counterclaims / rebuttals, and crafting actionable conclusions",,,,
Grade 9,English,"Narrative and descriptive writing featuring developed characters, authentic dialogue, sensory imagery, and thematic depth",,,,
Grade 9,English,"Functional and business writing: Formal business letters (inquiry, application, complaint, request, endorsement), formal emails, and memoranda",,,,
Grade 9,English,"Writing objective summaries, abstracts, précis, and paraphrases of complex texts",,,,
Grade 9,English,"Research methodology: Formulating inquiry and research questions, narrowing research topics, and gathering primary / secondary sources",,,,
Grade 9,English,"Evaluating sources using the CRAAP criteria (Currency, Relevance, Authority, Accuracy, Purpose)",,,,
Grade 9,English,"Ethical research practices: Avoiding intentional and unintentional plagiarism, synthesizing multiple perspectives, and taking accurate notes",,,,
Grade 9,English,Mechanics of bibliographic citation: In-text citations and reference list formatting using APA and MLA styles,,,,
Grade 9,English,"Proofreading symbols and systematic revision: Evaluating structural unity, logical coherence, sentence variety, diction, tone, and mechanical accuracy",,,,
Grade 9,Filipino,"Panitikan ng Timog-Silangang Asya: Maikling Kuwento (hal. Ang Ama mula sa Singapore, Anim na Sabado ng Beyblade mula sa Pilipinas)",,,,
Grade 9,Filipino,Mga Pang-ugnay sa Pagsusunod-sunod ng mga Pangyayari at Transisyunal na Pantulong,,,,
Grade 9,Filipino,"Panitikan ng Timog-Silangang Asya: Nobela (hal. Bata, Bata... Pa'no Ka Ginawa? o Takipsilim sa Djakarta)",,,,
Grade 9,Filipino,"Mga Pahayag na Ginagamit sa Pagbibigay-Opinyon at Paninindigan (sa tingin ko, para sa akin, kung ako ang tatanungin)",,,,
Grade 9,Filipino,"Panitikan ng Timog-Silangang Asya: Tula (hal. Kultura: Ang Pamana ng Nakaraan, Regalo ng Kasalukuyan, at Buhay ng Kinabukasan)",,,,
Grade 9,Filipino,"Mga Elemento ng Tula: Sukat, Tugma, Talinghaga, Kariktan, at Persona",,,,
Grade 9,Filipino,"Mga Paraan ng Pagpapahayag ng Emosyon o Damdamin: Padamdam, Maikling Sambitla, Pangungusap na Nagsasaad ng Tiyak na Damdamin, at Di-tuwirang Pagpapahayag",,,,
Grade 9,Filipino,Panitikan ng Timog-Silangang Asya: Sanaysay (hal. Kay Estella Zeehandelar ng Indonesia),,,,
Grade 9,Filipino,Mga Pangatnig at Pang-ugnay sa Paglalahad ng Sariling Pananaw at Katwiran,,,,
Grade 9,Filipino,Panitikan ng Timog-Silangang Asya: Dula (hal. Tiyo Simon ng Pilipinas),,,,
Grade 9,Filipino,"Pagsusuri sa mga Elemento at Yugto ng Dula (Iskrip, Gumaganap, Tanghalan, Tagadirehe, Manonood)",,,,
Grade 9,Filipino,Mga Pang-ugnay sa Pagpapahayag ng Sanhi at Bunga,,,,
Grade 9,Filipino,"Panitikan ng Silangang Asya: Tanka at Haiku ng Japan (Kasaysayan, Estruktura ng Pantig 5-7-5-7-7 at 5-7-5, Paksa, Kireji, at Kigo)",,,,
Grade 9,Filipino,"Mga Ponemang Suprasegmental: Tono / Intonasyon, Haba at Diin, at Antala / Hinto",,,,
Grade 9,Filipino,Panitikan ng Silangang Asya: Pabula (hal. Ang Hatol ng Kuneho mula sa Korea),,,,
Grade 9,Filipino,Iba't ibang Paraan ng Pagpapahayag ng Emosyon at Saloobin sa Pabula,,,,
Grade 9,Filipino,"Mga Modal: Gamit bilang Malapandiwa (Nais, Gusto, Ibig), Panuring, at Pagpapahayag ng Kagustuhan, Posibilidad, at Obligasyon",,,,
Grade 9,Filipino,Panitikan ng Silangang Asya: Sanaysay (hal. Ang Kababaihan ng Taiwan: Ngayon at Noong Nakalipas na 50 Taon),,,,
Grade 9,Filipino,Mga Pangatnig na Nag-uugnay ng Magkatimbang at Di-Magkatimbang na Kaisipan,,,,
Grade 9,Filipino,Panitikan ng Silangang Asya: Maikling Kuwento (hal. Niyebeng Itim ng Tsina),,,,
Grade 9,Filipino,Mga Uri ng Paghihinuha at Paglalarawan ng Tagpuan at Tauhan,,,,
Grade 9,Filipino,Panitikan ng Silangang Asya: Dula (Kabuki at Noh ng Japan; Dula mula sa Tsina),,,,
Grade 9,Filipino,Pagsusuri sa Kulturang Asyano at Pagpapahalagang Pantao sa Silangang Asya,,,,
Grade 9,Filipino,Panitikan ng Kanlurang Asya: Parabula (hal. Ang Talinghaga Tungkol sa May-ari ng Ubasan),,,,
Grade 9,Filipino,Mga Matatalinghagang Pahayag at Paggamit ng Tayutay sa Parabula,,,,
Grade 9,Filipino,Panitikan ng Kanlurang Asya: Elehiya (hal. Elehiya sa Kamatayan ni Kuya mula sa Bhutan / Kanlurang Asya),,,,
Grade 9,Filipino,Pagkilala at Paggamit ng mga Pahayag sa Pagpapasidhi ng Damdamin,,,,
Grade 9,Filipino,Panitikan ng Kanlurang Asya: Maikling Kuwento (hal. Usok at Salamin: Ang Tagapagsalaysay ng Bagong Araw),,,,
Grade 9,Filipino,Mga Pang-ugnay sa Pagpapatunay at Pagsang-ayon,,,,
Grade 9,Filipino,Panitikan ng Kanlurang Asya: Alamat (hal. Alamat ni Prinsesa Manorah mula sa Thailand / Kanlurang Asya),,,,
Grade 9,Filipino,"Mga Pang-abay na Pamanahon, Panlunan, at Pamaraan sa Pagsasalaysay ng Alamat",,,,
Grade 9,Filipino,Panitikan ng Kanlurang Asya: Epiko (hal. Rama at Sita mula sa India / Kanlurang Asya),,,,
Grade 9,Filipino,Mga Angkop na Salita sa Paglalarawan ng mga Katangian ng Tauhan sa Epiko,,,,
Grade 9,Filipino,"Kaligirang Pangkasaysayan ng Obra Maestrang ""Noli Me Tangere"" ni Dr. Jose Rizal",,,,
Grade 9,Filipino,Kondisyon ng Lipunang Pilipino noong Panahon ng Espanyol at Layunin ni Rizal sa Pagsulat ng Nobela,,,,
Grade 9,Filipino,Inspirasyon sa Pagsulat ng Noli Me Tangere (Uncle Tom's Cabin ni Harriet Beecher Stowe),,,,
Grade 9,Filipino,"Mga Mahahalagang Tauhan sa Noli Me Tangere: Juan Crisostomo Ibarra, Maria Clara, Padre Damaso, Padre Salvi, Kapitan Tiago",,,,
Grade 9,Filipino,"Mga Mahahalagang Tauhan sa Noli Me Tangere: Elias, Sisa, Crispin, Basilio, Pilosopo Tasyo, Donya Victorina, Donya Consolacion, Alperes",,,,
Grade 9,Filipino,Pagsusuri sa mga Piling Kabanata ng Noli Me Tangere: Ang Piging sa Bahay ni Kapitan Tiago,,,,
Grade 9,Filipino,"Pagsusuri sa mga Piling Kabanata: Si Crisostomo Ibarra, Padre Damaso, at ang Pagkakatuklas sa Lihim ng Kanyang Ama",,,,
Grade 9,Filipino,Pagsusuri sa mga Piling Kabanata: Suyuan sa Asotea at Paggunita sa Nakaraan nina Ibarra at Maria Clara,,,,
Grade 9,Filipino,Pagsusuri sa mga Piling Kabanata: Ang Sakristan (Crispin at Basilio) at ang Kasawian ni Sisa,,,,
Grade 9,Filipino,Pagsusuri sa mga Piling Kabanata: Ang Pangingisda sa Lawa (Piknik) at ang Pagliligtas kay Elias mula sa Buwaya,,,,
Grade 9,Filipino,Pagsusuri sa mga Piling Kabanata: Ang Pilosopo (Pilosopo Tasyo) at ang Payo ukol sa Pagtatayo ng Paaralan,,,,
Grade 9,Filipino,Pagsusuri sa mga Piling Kabanata: Ang Paglalagay ng Unang Bato sa Paaralan at ang Pagtatangka sa Buhay ni Ibarra,,,,
Grade 9,Filipino,"Pagsusuri sa mga Piling Kabanata: Ang Pagtataksil, Pagpaparatang, at Pagsiklab ng Gawa-gawang Rebelyon",,,,
Grade 9,Filipino,Pagsusuri sa mga Piling Kabanata: Ang Pagtakas ni Ibarra sa Tulong ni Elias at ang Pamamaril sa Lawa,,,,
Grade 9,Filipino,"Pagsusuri sa mga Piling Kabanata: Ang Noche Buena, Pagkikita nina Basilio at Sisa, at ang Kamatayan at Habilin ni Elias",,,,
Grade 9,Filipino,"Pagsusuri sa mga Kaisipan, Isyung Panlipunan, at Kanser ng Lipunan sa Noli Me Tangere",,,,
Grade 9,Filipino,"Pagsusuri ng mga Tayutay, Simbolismo, at Pahiwatig sa Noli Me Tangere",,,,
Grade 9,Filipino,Pagsulat ng Rebyu at Suring-Basa ng Akdang Pampanitikan,,,,
Grade 9,Filipino,"Pagsulat ng Iskrip para sa Reader's Theater, Dulang Pantelebisyon, o Dulang Pantanghalan",,,,
Grade 9,Filipino,Pananaliksik: Pagsasagawa ng Mini-Research o Pagbuo ng Adbokasiyang Panlipunan,,,,
Grade 9,Social Studies,Kahulugan at Kahalagahan ng Ekonomiks sa Pang-araw-araw na Pamumuhay,,,,
Grade 9,Social Studies,Mga Pangunahing Konsepto sa Ekonomiks: Kakapusan (Scarcity) vs. Kakulangan (Shortage),,,,
Grade 9,Social Studies,"Mga Salik ng Matalinong Pagdedesisyon: Trade-off, Opportunity Cost, Marginal Thinking, at Incentives",,,,
Grade 9,Social Studies,Pangangailangan (Needs) vs. Kagustuhan (Wants),,,,
Grade 9,Social Studies,Teorya ng Pangangailangan ayon kay Abraham Maslow (Hierarchy of Needs),,,,
Grade 9,Social Studies,Mga Salik na Nakaaapekto sa Pangangailangan at Kagustuhan,,,,
Grade 9,Social Studies,Alokasyon: Kahulugan at Kahalagahan ng Wastong Paggamit ng Pinagkukunang-Yaman,,,,
Grade 9,Social Studies,"Iba't ibang Sistemang Pang-ekonomiya: Tradisyonal, Command, Market, at Mixed Economy",,,,
Grade 9,Social Studies,Proseso ng Produksyon: Kahulugan at Kahalagahan ng Produksyon,,,,
Grade 9,Social Studies,"Mga Salik ng Produksyon: Lupa (Upa/Renta), Paggawa (Sahod/Sweldo), Kapital (Interes), at Entrepreneurship (Tubo/Kita)",,,,
Grade 9,Social Studies,"Mga Organisasyon ng Negosyo: Isahang Pagmamay-ari (Sole Proprietorship), Sosyohan (Partnership), Korporasyon (Corporation), at Kooperatiba (Cooperative)",,,,
Grade 9,Social Studies,"Konsepto ng Pagkonsumo: Mga Salik na Nakaaapekto sa Pagkonsumo (Kita, Presyo, Inaasahan, Pagpapakitang-Gilas, Demonstration Effect)",,,,
Grade 9,Social Studies,Mga Katangian ng Matalinong Mamimili,,,,
Grade 9,Social Studies,Mga Karapatan at Pananagutan ng Mamimili (Consumer Rights and Responsibilities),,,,
Grade 9,Social Studies,"Mga Batas at Ahensya ng Pamahalaan na Nangangalaga sa mga Mamimili (Consumer Act of the Philippines / RA 7394, DTI, FDA)",,,,
Grade 9,Social Studies,Maykroekonomiks: Konsepto ng Demand at Batas ng Demand (Law of Demand),,,,
Grade 9,Social Studies,Mga Salik na Nakaaapekto sa Demand bukod sa Presyo (Ceteris Paribus),,,,
Grade 9,Social Studies,"Iba't ibang Paraan ng Pagpapakita ng Demand: Demand Schedule, Demand Curve, at Demand Function ($Q_d = a - bP$)",,,,
Grade 9,Social Studies,"Price Elasticity of Demand: Elastik, Di-elastik, Unitary, Ganap na Elastik, at Ganap na Di-elastik",,,,
Grade 9,Social Studies,Konsepto ng Suplay at Batas ng Suplay (Law of Supply),,,,
Grade 9,Social Studies,Mga Salik na Nakaaapekto sa Suplay bukod sa Presyo,,,,
Grade 9,Social Studies,"Iba't ibang Paraan ng Pagpapakita ng Suplay: Supply Schedule, Supply Curve, at Supply Function ($Q_s = c + dP$)",,,,
Grade 9,Social Studies,Price Elasticity of Supply: Pagsukat at Pagtukoy ng Elasticity Coefficient,,,,
Grade 9,Social Studies,Interaksyon ng Demand at Suplay: Ekwilibriyo sa Pamilihan (Equilibrium Price at Equilibrium Quantity),,,,
Grade 9,Social Studies,Disekwilibriyo sa Pamilihan: Kalabisan (Surplus) at Kakapusan (Shortage),,,,
Grade 9,Social Studies,Istruktura ng Pamilihan: Pamilihang may Ganap na Kompetisyon (Perfect Competition),,,,
Grade 9,Social Studies,"Istruktura ng Pamilihan: Pamilihang may Hindi Ganap na Kompetisyon (Monopoly, Monopsony, Oligopoly, Monopolistic Competition)",,,,
Grade 9,Social Studies,Gampanin ng Pamahalaan sa Pamilihan: Pagtatakda ng Price Ceiling (Maximum Price Control) at Price Floor (Minimum Price Control / Minimum Wage),,,,
Grade 9,Social Studies,"Makroekonomiks: Paikot na Daloy ng Ekonomiya (Circular Flow Model: 2, 3, 4, at 5 Modelo ng Paikot na Daloy)",,,,
Grade 9,Social Studies,Pambansang Kita: Gross National Income (GNI) vs. Gross Domestic Product (GDP),,,,
Grade 9,Social Studies,"Iba't ibang Paraan ng Pagsukat ng GNI: Expenditure Approach, Income Approach, at Industrial Origin / Value Added Approach",,,,
Grade 9,Social Studies,Nominal GNI/GDP vs. Real GNI/GDP at ang Pagsukat ng Growth Rate,,,,
Grade 9,Social Studies,Limitasyon sa Pagsukat ng Pambansang Kita at ang Underground Economy / Impormal na Sektor,,,,
Grade 9,Social Studies,"Ugnayan ng Kita, Pag-iimpok (Savings), at Pagkonsumo (7-20-70 Rule at Consumption Function)",,,,
Grade 9,Social Studies,"Kahalagahan ng Pag-iimpok at Pamumuhunan (Investment) sa Institusyong Pinansyal (Lending, PDIC, Bangko Sentral)",,,,
Grade 9,Social Studies,"Implasyon: Kahulugan, Mga Uri, at Pagsukat gamit ang Consumer Price Index (CPI), Inflation Rate, at Purchasing Power of the Peso (PPP)",,,,
Grade 9,Social Studies,Mga Dahilan ng Implasyon: Demand-Pull Inflation vs. Cost-Push Inflation,,,,
Grade 9,Social Studies,Mga Epekto ng Implasyon sa mga Mamamayan (Nakikinabang vs. Nalulugi) at Paraan ng Paglutas Dito,,,,
Grade 9,Social Studies,Patakarang Piskal (Fiscal Policy): Expansionary Fiscal Policy vs. Contractionary Fiscal Policy,,,,
Grade 9,Social Studies,Pambansang Badyet at Pinagmumulan ng Kita ng Pamahalaan: Pagbubuwis (Direct at Indirect Taxes),,,,
Grade 9,Social Studies,"Paggasta ng Pamahalaan, Budget Deficit, Budget Surplus, at Pamamahala sa Pambansang Utang",,,,
Grade 9,Social Studies,Patakarang Pananalapi (Monetary Policy): Expansionary Monetary Policy vs. Contractionary Monetary Policy,,,,
Grade 9,Social Studies,Gampanin ng Bangko Sentral ng Pilipinas (BSP) sa Pagpapanatili ng Katatagan ng Salapi,,,,
Grade 9,Social Studies,"Mga Instrumento ng Patakarang Pananalapi: Reserve Requirement, Open Market Operations, Rediscount Rate, Moral Suasion",,,,
Grade 9,Social Studies,"Mga Institusyong Pananalapi sa Pilipinas: Bangko (Universal, Commercial, Thrift, Rural) at Di-Bangko (GSIS, SSS, Pag-IBIG, PhilHealth, Pawnshops)",,,,
Grade 9,Social Studies,Konsepto ng Pambansang Kaunlaran: Pagkakaiba ng Paglago ng Ekonomiya (Economic Growth) at Kaunlarang Pang-ekonomiya (Economic Development),,,,
Grade 9,Social Studies,Mga Palatandaan ng Kaunlaran: Human Development Index (HDI) at mga Salik Nito,,,,
Grade 9,Social Studies,"Gampanin ng Mamamayang Pilipino sa Pambansang Kaunlaran (Sama-samang Pagkilos, Tamang Pagboto, Pagiging Produktibo, Pagnenegosyo)",,,,
Grade 9,Social Studies,"Sektor ng Agrikultura: Kahalagahan ng Pagsasaka, Pangingisda, Paghahayupan, at Paggugubat",,,,
Grade 9,Social Studies,"Mga Hamon at Suliranin sa Sektor ng Agrikultura (Kakulangan sa Imprastraktura, Climate Change, Land Conversion, Masamang Panahon)",,,,
Grade 9,Social Studies,Mga Batas at Repormang Pansakahan sa Pilipinas (Comprehensive Agrarian Reform Program / CARP),,,,
Grade 9,Social Studies,"Sektor ng Industriya: Kahalagahan ng Pagmimina, Pagmamanupaktura, Konstruksyon, at Utilities",,,,
Grade 9,Social Studies,"Mga Hamon at Suliranin sa Sektor ng Industriya (Polusyon, Brain Drain, Kakulangan sa Kapital)",,,,
Grade 9,Social Studies,Mga Patakarang Pang-ekonomiya na Sumusuporta sa Sektor ng Industriya,,,,
Grade 9,Social Studies,"Sektor ng Paglilingkod: Kahalagahan ng Transportasyon, Komunikasyon, Kalakalan, BPO, at Turismo",,,,
Grade 9,Social Studies,"Mga Hamon sa Sektor ng Paglilingkod: Brain Drain, Mababang Pasahod, Kontraktuwalisasyon (Endo), at Overseas Filipino Workers (OFWs)",,,,
Grade 9,Social Studies,"Mga Batas na Nangangalaga sa mga Manggagawa (Labor Code ng Pilipinas, DOLE, POEA/DMW, TESDA)",,,,
Grade 9,Social Studies,"Impormal na Sektor: Katangian, Anyo (Sidewalk Vendors, Sari-sari Stores, Pedicab Drivers), at mga Dahilan ng Pag-iral",,,,
Grade 9,Social Studies,"Mga Epekto ng Impormal na Sektor sa Ekonomiya (Kawalan ng Buwis, Kakulangan sa Proteksyon)",,,,
Grade 9,Social Studies,"Mga Batas at Programa para sa Impormal na Sektor (Social Reform Agenda, Magna Carta for Micro, Small, and Medium Enterprises / MSMEs)",,,,
Grade 9,Social Studies,"Kalakalang Panlabas: Kahalagahan, Batayan ng Kalakalan (Absolute Advantage vs. Comparative Advantage)",,,,
Grade 9,Social Studies,Balanseng Kalakalan (Balance of Trade): Trade Surplus vs. Trade Deficit,,,,
Grade 9,Social Studies,"Mga Patakaran sa Kalakalang Panlabas: Taripa, Quota, Embargo, at Malayang Kalakalan (Free Trade)",,,,
Grade 9,Social Studies,"Globalisasyon at Pandaigdigang Samahang Pang-ekonomiya: World Trade Organization (WTO), Asia-Pacific Economic Cooperation (APEC), ASEAN Economic Community (AEC)",,,,
Grade 9,Social Studies,Gampanin at Epekto ng Kalakalang Panlabas sa Pag-unlad ng Ekonomiya ng Pilipinas,,,,
Grade 10,Science,"Plate tectonics: Lithospheric plates and boundaries (convergent, divergent, transform fault)",,,,
Grade 10,Science,"Evidence of plate movements: Distribution of earthquakes, volcanoes, and mountain ranges",,,,
Grade 10,Science,Continental drift theory and seafloor spreading evidence,,,,
Grade 10,Science,Mantle convection currents as the driving mechanism for plate motion,,,,
Grade 10,Science,"Earthquakes: Focus, epicenter, seismic waves (P-waves, S-waves, surface waves), and locating epicenters using triangulation",,,,
Grade 10,Science,"Volcanoes: Distribution, types of volcanic eruptions, and viscosity of magma",,,,
Grade 10,Science,"Electromagnetic waves: Properties, nature, and the electromagnetic spectrum (radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, gamma rays)",,,,
Grade 10,Science,Practical applications and biological effects of electromagnetic waves,,,,
Grade 10,Science,Light: Reflection in curved mirrors (concave and convex mirrors) and image formation characteristics,,,,
Grade 10,Science,Light: Refraction in lenses (concave and convex lenses) and ray diagramming,,,,
Grade 10,Science,"Optical instruments: Cameras, microscopes, telescopes, and the human eye",,,,
Grade 10,Science,Electromagnetism: Magnetic field around a current-carrying wire and Oersted's experiment,,,,
Grade 10,Science,Electromagnetic induction: Faraday's Law and Lenz's Law,,,,
Grade 10,Science,Electric motors: Converting electrical energy into mechanical energy,,,,
Grade 10,Science,Electric generators: Converting mechanical energy into electrical energy,,,,
Grade 10,Science,Nervous system: Central nervous system (brain and spinal cord) and peripheral nervous system,,,,
Grade 10,Science,"Structure and function of a neuron, nerve impulse transmission, and reflex arcs",,,,
Grade 10,Science,"Endocrine system: Major endocrine glands, hormones, and their target organs",,,,
Grade 10,Science,Feedback mechanisms in maintaining homeostasis (negative and positive feedback loops),,,,
Grade 10,Science,"Heredity: DNA structure, replication, and the Central Dogma of Molecular Biology",,,,
Grade 10,Science,"RNA structure and types (mRNA, tRNA, rRNA)",,,,
Grade 10,Science,Protein synthesis: Transcription and translation processes,,,,
Grade 10,Science,"Mutations: Types of genetic mutations (substitution, insertion, deletion) and their phenotypic effects",,,,
Grade 10,Science,Evolution: Lamarck's theory of use and disuse vs. Darwin's theory of evolution by natural selection,,,,
Grade 10,Science,"Evidence of evolution: Fossil record, comparative anatomy, embryology, and molecular biology / DNA sequencing",,,,
Grade 10,Science,"Biodiversity and ecosystem stability: Population growth, carrying capacity, and limiting factors",,,,
Grade 10,Science,Gas laws: Kinetic Molecular Theory of gases and pressure-volume-temperature relationships,,,,
Grade 10,Science,Boyle's Law: Inverse relationship between pressure and volume,,,,
Grade 10,Science,Charles's Law: Direct relationship between volume and temperature,,,,
Grade 10,Science,Gay-Lussac's Law and the Combined Gas Law,,,,
Grade 10,Science,Chemical reactions: Evidence of chemical change and writing balanced chemical equations,,,,
Grade 10,Science,"Types of chemical reactions: Synthesis, decomposition, single displacement, double displacement, and combustion",,,,
Grade 10,Science,Collision theory and activation energy in chemical reactions,,,,
Grade 10,Science,"Factors affecting reaction rates: Temperature, concentration, surface area, particle size, and catalysts",,,,
Grade 10,Science,"Biomolecules: Structure and functions of carbohydrates (monosaccharides, disaccharides, polysaccharides)",,,,
Grade 10,Science,"Biomolecules: Structure and functions of lipids (fats, oils, waxes, steroids)",,,,
Grade 10,Science,"Biomolecules: Structure and functions of proteins (amino acids, peptide bonds, enzymatic roles)",,,,
Grade 10,Science,Biomolecules: Structure and functions of nucleic acids (DNA and RNA nucleotides),,,,
Grade 10,Science,"Chemical equations and stoichiometry: Mole-to-mole, mass-to-mass, and limiting reactant calculations",,,,
Grade 10,Math,Patterns and sequences: Generating patterns and formulating $n\text{th}$ term rules,,,,
